construction,RPLY1_cured_angle,RBELT1_cured_angle,RBELT2_cured_angle,RPLY2_cured_angle,Curing Width_UDMSIteration,Rim Width_UDMSIteration,Tread Arc Radius 1,Belt Width 1,Belt Width 2,Rim Diameter,Section Height,Shoulder Radius,Cavity Outer Diameter,Cavity Section Width,inflation,Inner Perimeter,Apex Ending,Minimum Side Wall gauge,Base Gauge at Centre,Cap Thickness at centre,Non Skid Depth,Ply turnup height 1,Ply turnup height 2,Total Center Guage,Total Rubber Guage at Shoulder,Total Shoulder Gauge,size,Section Ratio,Belt_Angle_Difference,Belt_Width_Difference,RPLY1_epi,RBELT1_epi,RBELT2_epi,RCAPPLY_epi,RPLY2_epi,RPLY1_denier,RBELT1_denier,RBELT2_denier,RCAPPLY_denier,RPLY2_denier,Aspect_ratio
2+0,-90,27,-27,90,8.5,8,680,190.077,178.124,18,125.42,30,705.6,251.2,250,432.208,37.801,2.501,2,6.8,6.924,60.141,19.957,15.93,5.264,13.346,225/55R18,0.499283439,54,11.953,28,18,18,25,28,1000,NA,NA,1260,28,55
1+0,90,23,-24,Not Applicable,7,6.5,500,168.21,157.029,16,135.27,38.7,670,226.713,210,429.129,31.132,2.504,3,7.4,7.888,59.985,0,15.27,6.833,14.012,215/60R16,0.596657448,47,11.181,29,18,18,30,Not Applicable,1500,NA,NA,1260,Not Applicable,60
1+0,-90,23,-25,Not Applicable,5.5,4,250,116.999,104.647,14,135.99,24,620.96,172.982,210,368.005,31.761,3.503,2,6.6,6.576,49.997,0,13.71,5.87,12.399,165/80R14,0.78615116,48,12.352,29,18,18,30,Not Applicable,1500,NA,NA,1260,Not Applicable,80
1+0,-90,23,-25,Not Applicable,5.5,4,250,116.999,104.647,14,135.99,24,620.96,172.982,240,368.005,31.761,3.503,2,6.6,6.576,49.997,0,13.71,5.87,12.399,165/80R14,0.78615116,48,12.352,29,18,18,30,Not Applicable,1500,NA,NA,1260,Not Applicable,80
2+0,90,24,-26,90,8.5,7.5,800,184.145,172.528,18,167.06,0,789,266.497,180,513.728,55.37676,3.488,3,8,8.988,63.905,31.389,0,0,0,255/60R18,0.626873848,50,11.617,28,18,18,30,28,1000,2+2x0p35HT,2+2x0p35HT,1260,28,60
2+0,90,24,-26,90,8.5,7.5,800,184.145,172.528,18,167.06,0,789,266.497,210,513.728,55.37676,3.488,3,8,8.988,63.905,31.389,0,0,0,255/60R18,0.626873848,50,11.617,28,18,18,30,28,1000,2+2x0p35HT,2+2x0p35HT,1260,28,60
2+0,90,24,-26,90,8.5,7.5,800,184.145,172.528,18,167.06,0,789,266.497,220,513.728,55.37676,3.488,3,8,8.988,63.905,31.389,0,0,0,255/60R18,0.626873848,50,11.617,28,18,18,30,28,1000,2+2x0p35HT,2+2x0p35HT,1260,28,60
1+0,90,23,-24,Not Applicable,6.5,6.5,500,168.121,156.783,16,131.27,38.7,662,226.703,210,432.069,30.793,2.527,3,7.4,7.888,59.998,0,15.27,6.665,14.257,215/60R16,0.579039536,47,11.338,29,18,18,30,Not Applicable,1500,NA,NA,1260,Not Applicable,60
1+0,90,23,-26,Not Applicable,5.5,5,400,131.904,120.476,14,101.39,29.7,551.92,179.944,210,331.6,30,1.011,2.113,6,5.328,49.038,0,12.93,6.144,13.038,165/60R14,0.563453074,49,11.428,29,18,18,30,Not Applicable,1500,NA,NA,1260,Not Applicable,60
1+0,90,25,-23,Not Applicable,7,5.5,550.39,149.799,137.731,16,119.42,25,638,214.005,180,384.534,33.791,3.518,2.5,7.4,7.382,55.009,0,15.31,5.496,13.888,195/60R16,0.558024345,48,12.068,28,18,18,25,Not Applicable,1000,NA,NA,1260,Not Applicable,60
1+0,90,25,-23,Not Applicable,7,5.5,550.39,149.799,137.731,16,119.42,25,638,214.005,210,384.534,33.791,3.518,2.5,7.4,7.382,55.009,0,15.31,5.496,13.888,195/60R16,0.558024345,48,12.068,28,18,18,25,Not Applicable,1000,NA,NA,1260,Not Applicable,60
1+0,90,25,-23,Not Applicable,7,5.5,550.39,149.799,137.731,16,119.42,25,638,214.005,250,384.534,33.791,3.518,2.5,7.4,7.382,55.009,0,15.31,5.496,13.888,195/60R16,0.558024345,48,12.068,28,18,18,25,Not Applicable,1000,NA,NA,1260,Not Applicable,60
2+0,90,28,-28,90,5.5,5,400,113.327,102.759,14,134.97,30,617.96,169.999,200,366.477,17.308,2.504,2.058,7,6.943,55,25,14.64,6.102,13.611,165/80R14,0.793945847,56,10.568,28,22,22,20,28,1000,2x0p3HT,2x0p3HT,840,28,80
2+0,90,28,-28,90,5.5,5,400,113.327,102.759,14,134.97,30,617.96,169.999,210,366.477,17.308,2.504,2.058,7,6.943,55,25,14.64,6.102,13.611,165/80R14,0.793945847,56,10.568,28,22,22,20,28,1000,2x0p3HT,2x0p3HT,840,28,80
1+SL,90,26,-24,Not Applicable,6.5,5.5,300,146.068,134.355,15,122.67,0,619.94,201.997,210,0,33.69,0,2.5,0.034,4.68,0,0,0,0,0,185/65R15,0.607286247,50,11.713,29,18,18,30,Not Applicable,1500,NA,NA,1260,Not Applicable,65
1+0,90,23,-24,Not Applicable,7.5,6.5,500,168.358,157.103,16,135.52,178.814,670.5,242.196,210,445.751,30.907,2.498,3,7.4,7.889,52,0,15.27,0,4.398,215/60R16,0.559546813,47,11.255,29,18,18,30,Not Applicable,1500,NA,NA,1260,Not Applicable,60
